location_name,date,rainfall_mm_24h,river_discharge_m3s,risk_level,label_source
"Lagos, Nigeria",2010-08-25,4.3,333.97,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-26,11.3,365.44,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-27,20.3,487.65,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-28,8.1,574.44,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-29,3.2,549.81,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-30,4.7,480.95,low,default_low_unconfirmed
"Lagos, Nigeria",2010-08-31,4.7,413.0,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-01,2.6,371.39,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-02,1.3,353.81,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-03,15.7,369.68,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-04,7.9,424.6,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-05,7.3,601.56,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-06,50.5,980.75,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-07,9.8,1249.26,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-08,19.0,2050.16,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-09,2.5,2678.17,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-10,10.8,2295.15,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-11,11.5,1624.55,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-12,2.9,1212.39,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-13,1.9,1043.72,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-14,12.4,915.22,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-15,7.8,775.25,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-16,0.3,716.79,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-17,3.7,759.33,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-18,14.8,703.69,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-19,4.7,593.29,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-20,10.1,634.33,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-21,6.1,802.53,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-22,6.4,815.58,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-23,24.4,821.24,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-24,23.6,1008.25,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-25,1.9,1491.79,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-26,2.2,2040.74,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-27,35.5,1962.36,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-28,8.4,1360.44,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-29,0.0,896.43,low,default_low_unconfirmed
"Lagos, Nigeria",2010-09-30,2.9,769.9,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-01,1.5,705.32,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-02,1.2,567.85,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-03,5.1,461.38,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-04,15.6,424.6,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-05,7.3,430.52,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-06,6.3,467.81,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-07,11.2,537.27,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-08,1.8,611.35,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-09,1.5,634.33,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-10,7.7,585.14,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-11,16.4,542.25,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-12,8.7,551.08,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-13,6.5,615.59,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-14,7.2,731.82,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-15,0.6,773.46,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-16,0.1,682.91,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-17,4.0,561.34,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-18,7.4,460.32,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-19,7.5,391.65,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-20,8.7,380.07,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-21,3.5,430.52,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-22,1.1,504.82,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-23,1.8,609.94,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-24,3.4,534.8,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-25,8.6,411.1,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-26,1.1,355.45,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-27,3.8,377.44,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-28,1.8,453.99,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-29,6.9,468.89,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-30,4.8,469.98,low,default_low_unconfirmed
"Lagos, Nigeria",2010-10-31,9.7,499.03,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-01,6.1,511.86,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-02,4.7,523.81,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-03,1.9,548.54,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-04,7.2,557.47,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-05,3.3,552.35,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-06,0.6,542.25,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-07,1.3,508.33,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-08,1.2,462.45,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-09,0.2,414.91,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-10,1.3,362.92,low,default_low_unconfirmed
"Lagos, Nigeria",2010-11-11,9.8,314.5,low,default_low_unconfirmed
